Student ID,Distance Z-score,Distance Min-Max Scaled,Score,Maximum,Score / Maximum %
s7cd5fdc4,1.6921805512491372,0.5106753749370195,232.0,254,0.9133858267716536
s7ce75e22,0.02139176065704952,0.20157747535116677,129.0,204,0.6323529411764706
s7d007333,1.4649038707701934,0.4737470445949352,263.0,283,0.9293286219081273
s7d2e50c7,-0.5314523713580782,0.08236285559113846,233.0,239,0.9748953974895398
s7d3cc99f,-0.1990445086814657,0.132031025839392,246.0,269,0.9144981412639405
s7d4558c8,-0.34926056217653495,0.11886986325525808,256.0,284,0.9014084507042254
s7dfeb4bf,1.713304221418063,0.33813735440618004,14.0,20,0.7
s7eddc10c,-0.437393144376475,0.10247898725810124,262.0,289,0.9065743944636678
s7f13747f,0.7914295147297956,0.3586351747359267,207.0,234,0.8846153846153846
s7f832ec7,1.2492149949920435,0.4438663426272341,402.0,577,0.6967071057192374
s7fcdaacc,-0.3882699993722114,0.1075546434041398,279.0,294,0.9489795918367347
s80006489,-0.17230592570640776,0.1504894664954302,144.0,190,0.7578947368421053
s8074771b,-0.4249047940517837,0.11797074958118353,284.0,299,0.9498327759197325
s8078e6cf,-0.08186299107796523,0.170316543131951,192.0,258,0.7441860465116279
s812bc302,1.3208425608642445,0.4507871186751395,14.0,117,0.11965811965811966
s8161ff1f,-0.3178421450472382,0.12716523466843865,235.0,264,0.8901515151515151
s8180e476,-0.5012369482716044,0.09843171485615923,388.0,464,0.8362068965517241
s81b96198,0.24066506291621678,0.21686714795626444,186.0,259,0.7181467181467182
s8237d09c,1.0524319583766086,0.3539899285144001,3.0,30,0.1
s831edf7c,-0.49001706453111327,0.0855830727707584,257.0,289,0.889273356401384
s83b443d6,-0.5505954703853209,0.07755856059388294,236.0,279,0.8458781362007168
s83f0505b,-0.4456496523667413,0.10857643594337288,220.0,239,0.9205020920502092
s84114702,1.5252321477133237,0.4914303616288952,7.0,70,0.1
s84510a3b,-0.33240708272507663,0.13445436592570323,163.0,214,0.7616822429906542
s846ba939,-0.0083774944086733,0.17105242279789526,285.0,299,0.9531772575250836
s849c30ad,-0.6456483112917693,0.05271484840796627,146.0,169,0.863905325443787
s84f52af8,0.20967914305217158,0.19130705863497918,169.0,264,0.6401515151515151
s84fca6e9,1.4237767751843708,0.49884011719253585,61.0,92,0.6630434782608695
s853e57e8,0.5585427016606859,0.2948776026051978,277.0,304,0.9111842105263158
s8540e7ee,0.1923976646511431,0.22150289044665517,96.0,154,0.6233766233766234
s855e825a,-0.5473078419388174,0.072069168530676,198.0,272,0.7279411764705882
s8592ed44,1.5994009580270943,0.5154049083911395,264.0,264,1.0
s85c467e9,-0.014216281879650832,0.1821708922305497,269.0,279,0.96415770609319
s85c9858d,-0.44458695715930574,0.10025364269066847,193.0,230,0.8391304347826087
s85cb9b5f,0.039914943316042346,0.2025168661574108,191.0,239,0.799163179916318
s85dcb669,-0.2540233745715066,0.11542954416618913,86.0,125,0.688
s85e1ad05,1.1994578866386791,0.45209531919658175,42.0,67,0.6268656716417911
s85ffda17,-0.6242287876716217,0.061675481661560734,166.0,199,0.8341708542713567
s8602a138,-0.007859167522410542,0.1783431881094875,184.0,254,0.7244094488188977
s86c0417d,-0.13996208935956114,0.149969942975812,127.0,209,0.6076555023923444
s86f6d9fd,0.7286987849264801,0.3514597549688865,152.0,219,0.6940639269406392
s86f991c3,-0.4225122268707404,0.10551427496947345,243.0,294,0.826530612244898
s87a0c01d,0.38409581731445636,0.26955096443280285,112.0,204,0.5490196078431373
s87c0d99a,0.042552749620007,0.19540308319549488,91.0,194,0.4690721649484536
s87c441b2,-0.14769406817249076,0.16764473094609897,234.0,244,0.9590163934426229
s87f41585,-0.09744480999372954,0.15696119271579076,257.0,294,0.8741496598639455
s8868d870,-0.1767684693913662,0.13558518711156076,135.0,214,0.6308411214953271
s88ad7dea,-0.059066998427087694,0.18721318354416538,299.0,299,1.0
s8941ef24,0.02350156734345025,0.16790865650170006,90.0,214,0.4205607476635514
s89460091,-0.48831775573397995,0.09999374500649985,200.0,289,0.6920415224913494
s89baac6a,-0.5078726703342378,0.07464677277693259,282.0,289,0.9757785467128027
s89d35b85,0.08593624658399093,0.2105062117323679,262.0,299,0.8762541806020067
s89d8cb57,1.2919550917302776,0.47872899874990904,172.0,204,0.8431372549019608
s8a2e471e,1.1222992353529533,0.41337087826615077,32.0,116,0.27586206896551724
s8a3e70f,1.6352619557919232,0.44539523520299173,0.0,16,0.0
s8ab2e904,0.003389211844499438,0.18048223041952322,168.0,219,0.7671232876712328
s8ad21190,-0.4755884362119054,0.10798246930986934,194.0,218,0.8899082568807339
s8b416fb2,1.1165049079536513,0.3907419394358957,42.0,144,0.2916666666666667
s8b47bdcc,-0.5460037968916439,0.07294400892706908,202.0,254,0.7952755905511811
s8bab2682,-0.3883799439643121,0.10644866028970539,279.0,299,0.9331103678929766
s8bcfc95d,-0.5161914179163011,0.08155927937167957,5.0,30,0.16666666666666666
s8bf21d59,0.08269992292398173,0.22117707039606563,156.0,174,0.896551724137931
s8c39f80d,0.6761671009812426,0.3263188922096872,35.0,100,0.35
s8cd8831d,-0.09463288262116487,0.16704281744203137,244.0,274,0.8905109489051095
s8cfb35e5,-0.05000701485425984,0.19520558589022177,204.0,249,0.8192771084337349
s8d22fb8a,-0.17406949294662313,0.13867674085224987,279.0,299,0.9331103678929766
