Student ID,Problem Count,Score,Maximum,Correct Problem Count,Distance Z-score,Quiz Performance
sf912fdc1,53.0,442.0,508,39.0,0.021129011847467453,0.8700787401574803
sf9f0c44f,27.0,203.0,264,18.0,-0.4724057375609617,0.7689393939393939
sfa8437fc,28.0,286.0,299,26.0,-0.1170289411702227,0.9565217391304348
sfb6c6bf3,28.0,290.0,299,26.0,-0.043116501710315155,0.9698996655518395
sfbcb04ad,30.0,221.0,299,17.0,-0.2850503720267556,0.7391304347826086
sfd99d0c,27.0,254.0,274,23.0,-0.09012816843636397,0.927007299270073
sfda07c93,28.0,253.0,284,22.0,-0.3118308481922634,0.8908450704225352
sfe32615d,27.0,262.0,289,20.0,-0.5115869165054951,0.9065743944636678
sfe734cca,29.0,274.0,284,23.0,-0.5475805942335121,0.9647887323943662
sfeb9f2b1,30.0,283.0,294,27.0,-0.3174790230780389,0.9625850340136054
sff6cfe28,28.0,289.0,299,27.0,-0.1893469823788886,0.9665551839464883
sffae1858,27.0,234.0,264,22.0,-0.2401106293473225,0.8863636363636364
